"","country","iso_a3","slug_game","competed","total_pop_july","Medals.1","Medals.2","Medals.3","Medals.4","Medals.5","Medals.team","Medals.1.team","Medals.total","Medals.unique"
"1","Afghanistan","AFG","athens-2004",TRUE,23561000,0,0,0,0,0,0,0,0,0
"2","Albania","ALB","athens-2004",TRUE,3099000,0,0,0,0,0,0,0,0,0
"3","Algeria","DZA","athens-2004",TRUE,32628000,0,0,0,0,0,0,0,0,0
"4","American Samoa","ASM","athens-2004",TRUE,57000,0,0,0,0,0,0,0,0,0
"5","Andorra","AND","athens-2004",TRUE,74000,0,0,0,0,0,0,0,0,0
"6","Angola","AGO","athens-2004",TRUE,18600000,0,0,0,0,0,0,0,0,0
"7","Antigua and Barbuda","ATG","athens-2004",TRUE,79000,0,0,0,0,0,0,0,0,0
"8","Argentina","ARG","athens-2004",TRUE,38816000,1,0,0,0,0,5,6,6,6
"9","Armenia","ARM","athens-2004",TRUE,3023000,0,0,0,0,0,0,0,0,0
"10","Aruba","ABW","athens-2004",TRUE,93000,0,0,0,0,0,0,0,0,0
"11","Australia","AUS","athens-2004",TRUE,20047000,19,5,1,0,0,18,37,50,43
"12","Austria","AUT","athens-2004",TRUE,8173000,4,1,0,0,0,1,5,7,6
"13","Azerbaijan","AZE","athens-2004",TRUE,8490000,5,0,0,0,0,0,5,5,5
"14","Bahamas","BHS","athens-2004",TRUE,340000,2,0,0,0,0,0,2,2,2
"15","Bahrain","BHR","athens-2004",TRUE,871000,0,0,0,0,0,0,0,0,0
"16","Bangladesh","BGD","athens-2004",TRUE,142903000,0,0,0,0,0,0,0,0,0
"17","Barbados","BRB","athens-2004",TRUE,267000,0,0,0,0,0,0,0,0,0
"18","Belarus","BLR","athens-2004",TRUE,9735000,11,0,0,0,0,2,13,13,13
"19","Belgium","BEL","athens-2004",TRUE,10421000,3,0,0,0,0,0,3,3,3
"20","Belize","BLZ","athens-2004",TRUE,272000,0,0,0,0,0,0,0,0,0
"21","Benin","BEN","athens-2004",TRUE,8159000,0,0,0,0,0,0,0,0,0
"22","Bermuda","BMU","athens-2004",TRUE,63000,0,0,0,0,0,0,0,0,0
"23","Bhutan","BTN","athens-2004",TRUE,651000,0,0,0,0,0,0,0,0,0
"24","Bolivia","BOL","athens-2004",TRUE,9204000,0,0,0,0,0,0,0,0,0
"25","Bosnia and Herzegovina","BIH","athens-2004",TRUE,4141000,0,0,0,0,0,0,0,0,0
"26","Botswana","BWA","athens-2004",TRUE,1807000,0,0,0,0,0,0,0,0,0
"27","Brazil","BRA","athens-2004",TRUE,182675000,5,0,0,0,0,5,10,10,10
"28","British Virgin Islands","VGB","athens-2004",TRUE,23000,0,0,0,0,0,0,0,0,0
"29","Brunei","BRN","athens-2004",TRUE,353000,0,0,0,0,0,0,0,0,0
"30","Bulgaria","BGR","athens-2004",TRUE,7749000,7,2,0,0,0,1,8,12,10
"31","Burkina Faso","BFA","athens-2004",TRUE,13501000,0,0,0,0,0,0,0,0,0
"32","Burundi","BDI","athens-2004",TRUE,7311000,0,0,0,0,0,0,0,0,0
"33","Cambodia","KHM","athens-2004",TRUE,13245000,0,0,0,0,0,0,0,0,0
"34","Cameroon","CMR","athens-2004",TRUE,16610000,1,0,0,0,0,0,1,1,1
"35","Canada","CAN","athens-2004",TRUE,32133000,7,1,0,0,0,3,10,12,11
"36","Cape Verde","CPV","athens-2004",TRUE,479000,0,0,0,0,0,0,0,0,0
"37","Cayman Islands","CYM","athens-2004",TRUE,45000,0,0,0,0,0,0,0,0,0
"38","Central African Republic","CAF","athens-2004",TRUE,4193000,0,0,0,0,0,0,0,0,0
"39","Chad","TCD","athens-2004",TRUE,9920000,0,0,0,0,0,0,0,0,0
"40","Chile","CHL","athens-2004",TRUE,16187000,2,0,0,0,0,1,3,3,3
"41","China","CHN","athens-2004",TRUE,1302100000,48,0,0,0,0,15,63,63,63
"42","Taiwan","TWN","athens-2004",TRUE,22745000,3,0,0,0,0,2,5,5,5
"43","Colombia","COL","athens-2004",TRUE,41543000,2,0,0,0,0,0,2,2,2
"44","Comoros","COM","athens-2004",TRUE,581000,0,0,0,0,0,0,0,0,0
"45","Republic of the Congo","COG","athens-2004",TRUE,3566000,0,0,0,0,0,0,0,0,0
"46","Democratic Republic of the Congo","COD","athens-2004",TRUE,56998000,0,0,0,0,0,0,0,0,0
"47","Cook Islands","COK","athens-2004",TRUE,15000,0,0,0,0,0,0,0,0,0
"48","Costa Rica","CRI","athens-2004",TRUE,4200000,0,0,0,0,0,0,0,0,0
"49","Ivory Coast","CIV","athens-2004",TRUE,19595000,0,0,0,0,0,0,0,0,0
