"","country","iso_a3","slug_game","competed","total_pop_july","Medals.1","Medals.2","Medals.3","Medals.4","Medals.5","Medals.team","Medals.1.team","Medals.total","Medals.unique"
"1","Afghanistan","AFG","beijing-2008",TRUE,26483000,1,0,0,0,0,0,1,1,1
"2","Albania","ALB","beijing-2008",TRUE,2993000,0,0,0,0,0,0,0,0,0
"3","Algeria","DZA","beijing-2008",TRUE,34817000,2,0,0,0,0,0,2,2,2
"4","American Samoa","ASM","beijing-2008",TRUE,56000,0,0,0,0,0,0,0,0,0
"5","Andorra","AND","beijing-2008",TRUE,83000,0,0,0,0,0,0,0,0,0
"6","Angola","AGO","beijing-2008",TRUE,21579000,0,0,0,0,0,0,0,0,0
"7","Antigua and Barbuda","ATG","beijing-2008",TRUE,83000,0,0,0,0,0,0,0,0,0
"8","Argentina","ARG","beijing-2008",TRUE,40424000,1,0,0,0,0,5,6,6,6
"9","Armenia","ARM","beijing-2008",TRUE,2960000,5,0,0,0,0,0,5,5,5
"10","Aruba","ABW","beijing-2008",TRUE,98000,0,0,0,0,0,0,0,0,0
"11","Australia","AUS","beijing-2008",TRUE,21371000,15,6,0,0,0,19,34,46,40
"12","Austria","AUT","beijing-2008",TRUE,8323000,3,0,0,0,0,0,3,3,3
"13","Azerbaijan","AZE","beijing-2008",TRUE,8943000,6,0,0,0,0,0,6,6,6
"14","Bahamas","BHS","beijing-2008",TRUE,358000,1,0,0,0,0,1,2,2,2
"15","Bahrain","BHR","beijing-2008",TRUE,1121000,0,0,0,0,0,0,0,0,0
"16","Bangladesh","BGD","beijing-2008",TRUE,149474000,0,0,0,0,0,0,0,0,0
"17","Barbados","BRB","beijing-2008",TRUE,273000,0,0,0,0,0,0,0,0,0
"18","Belarus","BLR","beijing-2008",TRUE,9529000,9,0,0,0,0,5,14,14,14
"19","Belgium","BEL","beijing-2008",TRUE,10710000,1,0,0,0,0,1,2,2,2
"20","Belize","BLZ","beijing-2008",TRUE,304000,0,0,0,0,0,0,0,0,0
"21","Benin","BEN","beijing-2008",TRUE,9228000,0,0,0,0,0,0,0,0,0
