"","country","iso_a3","slug_game","competed","total_pop_july","Medals.1","Medals.2","Medals.3","Medals.4","Medals.5","Medals.team","Medals.1.team","Medals.total","Medals.unique"
"1","Afghanistan","AFG","london-2012",TRUE,30560000,1,0,0,0,0,0,1,1,1
"2","Albania","ALB","london-2012",TRUE,2910000,0,0,0,0,0,0,0,0,0
"3","Algeria","DZA","london-2012",TRUE,37646000,1,0,0,0,0,0,1,1,1
"4","American Samoa","ASM","london-2012",TRUE,54000,0,0,0,0,0,0,0,0,0
"5","Andorra","AND","london-2012",TRUE,77000,0,0,0,0,0,0,0,0,0
"6","Angola","AGO","london-2012",TRUE,25177000,0,0,0,0,0,0,0,0,0
"7","Antigua and Barbuda","ATG","london-2012",TRUE,87000,0,0,0,0,0,0,0,0,0
"8","Argentina","ARG","london-2012",TRUE,42162000,2,0,0,0,0,2,4,4,4
"9","Armenia","ARM","london-2012",TRUE,2923000,2,0,0,0,0,0,2,2,2
"10","Aruba","ABW","london-2012",TRUE,102000,0,0,0,0,0,0,0,0,0
"11","Australia","AUS","london-2012",TRUE,22853000,16,1,0,0,0,17,33,35,34
"12","Austria","AUT","london-2012",TRUE,8432000,0,0,0,0,0,0,0,0,0
"13","Azerbaijan","AZE","london-2012",TRUE,9376000,10,0,0,0,0,0,10,10,10
"14","Bahamas","BHS","london-2012",TRUE,375000,0,0,0,0,0,1,1,1,1
"15","Bahrain","BHR","london-2012",TRUE,1216000,1,0,0,0,0,0,1,1,1
"16","Bangladesh","BGD","london-2012",TRUE,155070000,0,0,0,0,0,0,0,0,0
"17","Barbados","BRB","london-2012",TRUE,277000,0,0,0,0,0,0,0,0,0
"18","Belarus","BLR","london-2012",TRUE,9463000,3,1,0,0,0,5,8,10,9
"19","Belgium","BEL","london-2012",TRUE,11108000,3,0,0,0,0,0,3,3,3
"20","Belize","BLZ","london-2012",TRUE,334000,0,0,0,0,0,0,0,0,0
"21","Benin","BEN","london-2012",TRUE,10398000,0,0,0,0,0,0,0,0,0
"22","Bermuda","BMU","london-2012",TRUE,64000,0,0,0,0,0,0,0,0,0
"23","Bhutan","BTN","london-2012",TRUE,717000,0,0,0,0,0,0,0,0,0
"24","Bolivia","BOL","london-2012",TRUE,10516000,0,0,0,0,0,0,0,0,0
"25","Bosnia and Herzegovina","BIH","london-2012",TRUE,3670000,0,0,0,0,0,0,0,0,0
"26","Botswana","BWA","london-2012",TRUE,2109000,1,0,0,0,0,0,1,1,1
"27","Brazil","BRA","london-2012",TRUE,196876000,11,0,0,0,0,6,17,17,17
"28","British Virgin Islands","VGB","london-2012",TRUE,30000,0,0,0,0,0,0,0,0,0
"29","Brunei","BRN","london-2012",TRUE,406000,0,0,0,0,0,0,0,0,0
"30","Bulgaria","BGR","london-2012",TRUE,7317000,3,0,0,0,0,0,3,3,3
"31","Burkina Faso","BFA","london-2012",TRUE,17172000,0,0,0,0,0,0,0,0,0
"32","Burundi","BDI","london-2012",TRUE,10071000,0,0,0,0,0,0,0,0,0
"33","Cambodia","KHM","london-2012",TRUE,14945000,0,0,0,0,0,0,0,0,0
"34","Cameroon","CMR","london-2012",TRUE,20810000,1,0,0,0,0,0,1,1,1
"35","Canada","CAN","london-2012",TRUE,34923000,12,0,0,0,0,6,18,18,18
"36","Cape Verde","CPV","london-2012",TRUE,512000,0,0,0,0,0,0,0,0,0
"37","Cayman Islands","CYM","london-2012",TRUE,57000,0,0,0,0,0,0,0,0,0
"38","Central African Republic","CAF","london-2012",TRUE,4611000,0,0,0,0,0,0,0,0,0
"39","Chad","TCD","london-2012",TRUE,13211000,0,0,0,0,0,0,0,0,0
