"","country","iso_a3","slug_game","competed","total_pop_july","Medals.1","Medals.2","Medals.3","Medals.4","Medals.5","Medals.team","Medals.1.team","Medals.total","Medals.unique"
"1","Afghanistan","AFG","tokyo-2020",TRUE,4e+07,0,0,0,0,0,0,0,0,0
"2","Albania","ALB","tokyo-2020",TRUE,2850000,0,0,0,0,0,0,0,0,0
"3","Algeria","DZA","tokyo-2020",TRUE,44761000,0,0,0,0,0,0,0,0,0
"4","American Samoa","ASM","tokyo-2020",TRUE,49000,0,0,0,0,0,0,0,0,0
"5","Andorra","AND","tokyo-2020",TRUE,78000,0,0,0,0,0,0,0,0,0
"6","Angola","AGO","tokyo-2020",TRUE,34532000,0,0,0,0,0,0,0,0,0
"7","Antigua and Barbuda","ATG","tokyo-2020",TRUE,92000,0,0,0,0,0,0,0,0,0
"8","Argentina","ARG","tokyo-2020",TRUE,45312000,0,0,0,0,0,3,3,3,3
"9","Armenia","ARM","tokyo-2020",TRUE,2870000,4,0,0,0,0,0,4,4,4
"10","Aruba","ABW","tokyo-2020",TRUE,108000,0,0,0,0,0,0,0,0,0
"11","Australia","AUS","tokyo-2020",TRUE,25956000,18,2,2,0,0,18,36,46,40
"12","Austria","AUT","tokyo-2020",TRUE,8967000,7,0,0,0,0,0,7,7,7
"13","Azerbaijan","AZE","tokyo-2020",TRUE,10234000,7,0,0,0,0,0,7,7,7
"14","Bahamas","BHS","tokyo-2020",TRUE,396000,2,0,0,0,0,0,2,2,2
"15","Bahrain","BHR","tokyo-2020",TRUE,1502000,1,0,0,0,0,0,1,1,1
"16","Bangladesh","BGD","tokyo-2020",TRUE,167659000,0,0,0,0,0,0,0,0,0
"17","Barbados","BRB","tokyo-2020",TRUE,282000,0,0,0,0,0,0,0,0,0
"18","Belarus","BLR","tokyo-2020",TRUE,9251000,6,0,0,0,0,1,7,7,7
"19","Belgium","BEL","tokyo-2020",TRUE,11571000,5,0,0,0,0,2,7,7,7
"20","Belize","BLZ","tokyo-2020",TRUE,395000,0,0,0,0,0,0,0,0,0
"21","Benin","BEN","tokyo-2020",TRUE,13413000,0,0,0,0,0,0,0,0,0
"22","Bermuda","BMU","tokyo-2020",TRUE,65000,1,0,0,0,0,0,1,1,1
"23","Bhutan","BTN","tokyo-2020",TRUE,775000,0,0,0,0,0,0,0,0,0
"24","Bolivia","BOL","tokyo-2020",TRUE,11937000,0,0,0,0,0,0,0,0,0
"25","Bosnia and Herzegovina","BIH","tokyo-2020",TRUE,3245000,0,0,0,0,0,0,0,0,0
"26","Botswana","BWA","tokyo-2020",TRUE,2401000,0,0,0,0,0,1,1,1,1
"27","Brazil","BRA","tokyo-2020",TRUE,209550000,15,1,0,0,0,4,19,21,20
"28","British Virgin Islands","VGB","tokyo-2020",TRUE,38000,0,0,0,0,0,0,0,0,0
"29","Brunei","BRN","tokyo-2020",TRUE,452000,0,0,0,0,0,0,0,0,0
"30","Bulgaria","BGR","tokyo-2020",TRUE,6877000,5,0,0,0,0,1,6,6,6
"31","Burkina Faso","BFA","tokyo-2020",TRUE,21995000,1,0,0,0,0,0,1,1,1
"32","Burundi","BDI","tokyo-2020",TRUE,12965000,0,0,0,0,0,0,0,0,0
"33","Cambodia","KHM","tokyo-2020",TRUE,16974000,0,0,0,0,0,0,0,0,0
"34","Cameroon","CMR","tokyo-2020",TRUE,26916000,0,0,0,0,0,0,0,0,0
"35","Canada","CAN","tokyo-2020",TRUE,38454000,11,2,0,0,0,9,20,24,22
"36","Cape Verde","CPV","tokyo-2020",TRUE,517000,0,0,0,0,0,0,0,0,0
"37","Cayman Islands","CYM","tokyo-2020",TRUE,70000,0,0,0,0,0,0,0,0,0
"38","Central African Republic","CAF","tokyo-2020",TRUE,5112000,0,0,0,0,0,0,0,0,0
"39","Chad","TCD","tokyo-2020",TRUE,17828000,0,0,0,0,0,0,0,0,0
"40","Chile","CHL","tokyo-2020",TRUE,19456000,0,0,0,0,0,0,0,0,0
"41","China","CHN","tokyo-2020",TRUE,1426437000,59,2,0,0,0,25,84,88,86
"42","Taiwan","TWN","tokyo-2020",TRUE,23558000,9,0,0,0,0,3,12,12,12
"43","Colombia","COL","tokyo-2020",TRUE,51188000,5,0,0,0,0,0,5,5,5
